ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
6155,69.36721614357728,-47.19151547001834,4.192925167801027,0.01495436395154664,2355.4150390625,yes,yes,yes,no,no,unknown,no,no
6157,69.36742189736245,-47.19155429359966,0.7554394572408858,0.0077810346142266895,2465.374755859375,yes,yes,yes,no,no,unknown,no,no
7216,69.3672629793343,-47.19153409537479,4.31579067384814,0.023555147617698176,1336.9720458984375,yes,yes,yes,no,no,unknown,no,no
22810,16.008077680890946,-72.03118183905677,15.808815970257946,0.16402032032780328,335.8750305175781,no,yes,no,yes,yes,unknown,no,no
22811,16.007852747029304,-72.03115519565799,15.806693394890193,0.15450476799679924,342.25177001953125,no,yes,no,yes,yes,unknown,no,no
22812,16.00843079735889,-72.03124974970672,15.837403184954141,0.19876046730143146,273.2618713378906,no,yes,no,no,yes,unknown,no,yes
303,10.687757374122478,41.25641613476775,0.9683775900663829,0.14318351101768115,10.221624374389648,no,no,yes,no,yes,unknown,no,yes
787,23.4618744825266,30.66009526714015,8.89469530038697,0.036717770880389196,1365.78466796875,yes,yes,no,no,no,unknown,no,no
790,11.661258141974105,-25.029885239021738,14.739348712647821,1.2059716785464636,5.073270797729492,no,no,no,no,no,unknown,no,no
794,35.68881222159176,42.28551282064433,5.653513295903744,0.16094441646169727,34.91020965576172,yes,yes,yes,no,no,unknown,yes,no
802,349.91681353293427,43.02330086246818,10.952799711678958,0.8625629797670414,4.786175727844238,no,no,no,no,no,unknown,no,no
2023,23.462234848338216,30.66040081179999,12.666243006199016,0.02615624694608588,2309.925537109375,yes,yes,yes,no,no,unknown,no,no
2052,11.43980484471663,41.6617798358698,4.353118403353332,0.020993331571948718,1653.8077392578125,no,yes,yes,no,no,unknown,no,yes
2053,11.440548644029532,41.66209895253141,7.738160210758212,0.05907911797469522,464.4356689453125,no,yes,no,no,no,unknown,no,no
2931,319.48320814829503,26.45082692025563,7.872755075830909,0.5774580147182783,9.648460388183594,yes,yes,no,no,no,unknown,no,no
2950,49.59284018729011,-66.60104847764038,4.938236956201721,0.026102540901650848,1232.3468017578125,no,yes,yes,no,yes,unknown,no,no
3945,75.76660536595561,-66.56245009800624,9.828977508987435,0.06374080181115281,731.0640869140625,yes,no,no,no,no,unknown,no,yes
5906,84.44720024140722,-69.1720682638751,6.241803546257252,0.05771754460018676,414.4355163574219,no,no,yes,no,yes,unknown,no,yes
6383,23.461939423197347,30.660203180405873,8.7718871028813,0.015365949139357047,2960.107177734375,yes,yes,no,no,no,unknown,no,no
6385,23.460984581519455,30.658966304896843,9.164397734913614,0.034296982903975926,533.6614990234375,no,no,no,no,no,unknown,no,no
7196,23.36959522649122,30.4566134819038,8.723508309748436,0.07359377818158627,544.7056274414062,yes,yes,yes,no,no,unknown,no,yes
7197,23.46215819297388,30.660064514479043,9.527274052546806,0.05590047626177369,815.429443359375,yes,yes,no,no,yes,unknown,no,yes
7198,23.462181702429064,30.66001215822954,9.54014416085244,0.04319100449103264,1096.347900390625,yes,yes,no,no,yes,unknown,no,no
7199,23.46214947301924,30.660004447485544,9.534935922421756,0.05210712222901881,947.8491821289062,yes,yes,no,no,yes,unknown,no,no
7208,23.424717045686734,30.64681489385983,9.85008316135669,0.5572638866061246,24.905574798583984,yes,yes,yes,no,yes,unknown,yes,yes
7344,23.71602788801699,30.485910629716567,9.334879362794252,0.10173543070040728,392.5794372558594,no,yes,yes,no,no,unknown,no,unknown
6389,23.462454414157097,30.660204500200784,8.804410732912478,0.019766990368015196,2381.3671875,yes,yes,no,no,no,unknown,no,no
7060,324.1359669093526,-54.56038313238392,2.028334025585851,0.13462726574774855,11.196667671203613,no,no,yes,no,no,unknown,no,yes
7155,13.620509898815781,-72.51861523548347,6.259275187999373,0.12230075294056215,62.07750701904297,yes,yes,yes,no,yes,unknown,no,yes
8197,40.130394912788596,39.059295014383885,2.219524027310445,0.23178576773333695,9.866165161132812,no,no,yes,no,yes,unknown,no,yes
10563,36.37614736212359,-24.702013704445633,7.894655286897519,0.280560685893441,25.367733001708984,yes,no,no,no,no,unknown,no,no
11273,49.546264181325654,-41.07778054755838,10.97729841607418,1.1741391349576284,5.305384635925293,no,no,no,no,no,unknown,no,no
14904,345.49247353458145,15.948704408623852,1.6198634484956558,0.12980449528845478,11.853720664978027,no,no,no,no,no,unknown,no,no
17011,11.52413332984727,41.717357840727956,6.509718483020503,0.2040933871878001,13.806446075439453,yes,yes,yes,no,no,unknown,yes,yes
18638,35.646686880699896,25.137554129684123,3.550578967384281,0.023447249427234272,1131.151611328125,yes,yes,no,no,no,unknown,no,no
24458,237.51955088395584,-78.21951430207295,2.12805321159265,0.13512920833319006,26.795085906982422,yes,no,yes,no,no,unknown,yes,no
